title,price,location,Tình trạng,Năm sản xuất,Xuất xứ,Động cơ,Kiểu dáng,Hộp số,Số Km đã đi,Dẫn động,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi
Xe Honda HRV L	2018,510 Triệu,"Lê Hào - 686 Nguyễn Văn Cừ, Long Biên Hà Nội",Xe đã dùng,2018,Nhập khẩu,Xăng 1.8 L,Crossover,Số tự động,"70,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,5 chỗ
Xe Volvo S90 LWB Ultimate Recharge T8 AWD	2024,2 Tỷ 399 Triệu,"Số 3&5 Nguyễn Văn Linh, Gia Thuỵ, Long Biên, Hn Hà Nội",Xe đã dùng,2024,Nhập khẩu,Hybrid 2.0 L,Sedan,Số tự động,"14,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Nâu,4 cửa,5 chỗ
Xe Hyundai Kona Đặc Biệt 2.0 AT	2019,460 Triệu,"199 Phố Mới, Tân Dương, Thuỷ Nguyên Hải Phòng",Xe đã dùng,2019,Trong nước,Xăng 2.0 L,SUV,Số tự động,"92,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Suzuki Swift 1.4 AT	2014,250 Triệu,"88 Phố Hồng Tiến, Long Biên Hà Nội",Xe đã dùng,2014,Trong nước,Xăng 1.4 L,Hatchback,Số tự động,-,FWD - Dẫn động cầu trước,Cam,Đen,5 cửa,5 chỗ
Xe Mini Cooper JCW Convertible	2020,1 Tỷ 580 Triệu,"120 Hồng Tiến, Long Biên Hà Nội",Xe đã dùng,2020,Nhập khẩu,Xăng 2.0 L,Convertible/Cabriolet,Số tự động,"29,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,2 cửa,5 chỗ
Xe Ford Territory Titanium X 1.5 AT	2025,826 Triệu,Phạm Văn Đồng Hà Nội,Xe mới,2025,Trong nước,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,5 chỗ
Xe Ford Ranger XLS 2.2L 4x2 AT	2022,540 Triệu,"Km14+300 QL6 Ba la, Hà Đông Hà Nội",Xe đã dùng,2022,Trong nước,Dầu 2.2 L,Bán tải / Pickup,Số tự động,"90,000 Km",RFD - Dẫn động cầu sau,Đỏ,Nhiều màu,4 cửa,5 chỗ
Xe Ford Ranger Wildtrak 2.0L 4x4 AT	2019,592 Triệu,"Số 10 Bt 2 - Kđt Văn Phú, Hà Đông Hà Nội",Xe đã dùng,2019,Nhập khẩu,Dầu 2.0 L,Bán tải / Pickup,Số tự động,"90,000 Km",4WD - Dẫn động 4 bánh,Cam,Đen,4 cửa,5 chỗ
Xe Mazda CX5 2.0 Luxury	2020,620 Triệu,"Số 702, Ngã 3 Đường Mới, P. Hùng Thắng, TP. Hạ Long Quảng Ninh",Xe đã dùng,2020,Trong nước,Xăng 2.0 L,SUV,Số tự động,"70,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Mazda 3 1.5L Deluxe	2021,535 Triệu,Đường CN9 - Phương Canh - Nam Từ Liêm Hà Nội,Xe đã dùng,2021,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"24,000 Km",FWD - Dẫn động cầu trước,Xanh,Đen,4 cửa,5 chỗ
Xe Mazda CX8 Premium	2022,869 Triệu,Đường CN9 - Phương Canh - Nam Từ Liêm Hà Nội,Xe đã dùng,2022,Trong nước,Xăng 2.5 L,SUV,Số tự động,"55,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,7 chỗ
Xe Hyundai Creta Cao cấp 1.5 AT	2025,685 Triệu,"C24, Lô 1, KĐT Geleximco, Đường Lê Trọng Tấn, Q. Hà Đông Hà Nội",Xe mới,2025,Trong nước,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Mazda 3 S 1.6 AT	2014,295 Triệu,Dm7-15 khu đất dịch vụ vạn phúc hà đông Hà Nội,Xe đã dùng,2014,Trong nước,Xăng 1.6 L,Sedan,Số tự động,"100,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe VinFast Fadil 1.4 AT	2019,275 Triệu,"Lô 26D Lê Hồng Phong, Q.Ngô Quyền Hải Phòng",Xe đã dùng,2019,Trong nước,Xăng 1.4 L,Hatchback,Số tự động,"51,000 Km",FWD - Dẫn động cầu trước,Đỏ,Màu khác,5 cửa,5 chỗ
Xe Honda City 1.5TOP	2019,385 Triệu,"292 - 294 Nguyễn Hữu Thọ, Quận Cẩm Lệ Đà Nẵng",Xe đã dùng,2019,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"85,000 Km",FWD - Dẫn động cầu trước,Xanh,Đen,4 cửa,5 chỗ
Xe Mercedes Benz S class S450L Luxury	2017,1 Tỷ 780 Triệu,"Dương Đình Nghệ, Cầu Giấy Hà Nội",Xe đã dùng,2017,Trong nước,Xăng 3.0 L,Sedan,Số tự động,"108,800 Km",RFD - Dẫn động cầu sau,Đen,Đen,4 cửa,5 chỗ
Xe Toyota Corolla altis 1.8G AT	2010,260 Triệu,"Tổ 13, Phường An Tường, TP Tuyên Quang Tuyên Quang",Xe đã dùng,2010,Trong nước,Xăng 1.8 L,Sedan,Số tự động,"130,000 Km",FWD - Dẫn động cầu trước,Đen,Ghi,4 cửa,5 chỗ
Xe Ford Ranger XLS 2.0L 4x2 AT	2025,605 Triệu,"Số 105 Láng Hạ, Q. Đống Đa Hà Nội",Xe mới,2025,Trong nước,Dầu 2.0 L,Bán tải / Pickup,Số tự động,-,RFD - Dẫn động cầu sau,Xám,-,4 cửa,5 chỗ
Xe LandRover Range Rover Evoque HSE	2017,1 Tỷ 150 Triệu,"Toà CT2 Chung cư văn phòng Quốc Hội, Xuân Phương Hà Nội",Xe đã dùng,2017,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,"63,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Đen,5 cửa,5 chỗ
Xe Honda HRV L	2025,692 Triệu,"26 Phạm Văn Đồng, Phường Đông Ngạc, Hà Nội",Xe mới,2025,Nhập khẩu,Xăng 1.5 L,Crossover,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,-,5 cửa,5 chỗ
"Xe Chenglong M3 thùng kín 9,9m	2025",980 Triệu,"KĐT Hà Phong, Tiền Phong, Mê Linh Hà Nội",Xe mới,2025,Nhập khẩu,Dầu,Truck,Số tay,-,RFD - Dẫn động cầu sau,Xám,Ghi,2 cửa,2 chỗ
Xe Omoda C5 Luxury 1.5 AT	2025,485 Triệu,"50 Điện Biên Phủ, Hồng Bàng Hải Phòng",Xe mới,2025,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Toyota Corolla Cross 1.8V	2022,705 Triệu,"286 Nguyễn Tất Thành, Thanh Miếu , Việt Trì Phú Thọ",Xe đã dùng,2022,Nhập khẩu,Xăng 1.8 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Xanh,Nâu,5 cửa,5 chỗ
Xe Kia Morning Luxury	2022,320 Triệu,"350 Đặng Xuân Bảng, Nam Vân, TP Nam Định Nam Định",Xe đã dùng,2022,Trong nước,Xăng 1.25 L,Hatchback,Số tự động,"50,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,5 cửa,5 chỗ
Xe Mercedes Benz GLC 200	2022,1 Tỷ 339 Triệu,68 Lê Văn Lương Hà Nội,Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"28,000 Km",RFD - Dẫn động cầu sau,Trắng,Kem,5 cửa,5 chỗ
Xe Mitsubishi Pajero Sport 2.4D 4x4 AT	2022,995 Triệu,"Nghĩa Tân, Nghĩa Đô Hà Nội",Xe đã dùng,2022,Nhập khẩu,Dầu 2.4 L,SUV,Số tự động,"30,000 Km",4WD - Dẫn động 4 bánh,Trắng,Đen,5 cửa,7 chỗ
Xe Ford Everest Sport 2.0L 4x2 AT	2025,1 Tỷ 185 Triệu,"VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy Hà Nội",Xe đã dùng,2025,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"9,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,7 chỗ
Xe MG HS 1.5T DEL	2025,555 Triệu,"Số 3-5 Nguyễn Văn Linh, P. Gia Thụy, Quận Long Biên Hà Nội",Xe mới,2025,Nhập khẩu,Xăng 1.5 L,Crossover,Số tự động,-,FWD - Dẫn động cầu trước,Đen,Nhiều màu,5 cửa,5 chỗ
Xe Ford Everest Titanium Plus 2.0L 4x4 AT	2025,1 Tỷ 320 Triệu,Đống Đa Hà Nội,Xe mới,2025,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,-,4WD - Dẫn động 4 bánh,Nâu,Đen,5 cửa,7 chỗ
Xe VinFast Herio Green AT	2025,479 Triệu,256 Kim Giang Hà Nội,Xe mới,2025,Trong nước,Điện,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,5 chỗ
Xe Lexus LX 570	2012,2 Tỷ 50 Triệu,Hà Nội Hà Nội,Xe đã dùng,2012,Nhập khẩu,Xăng 5.7 L,SUV,Số tự động,"150,000 Km",AWD - 4 bánh toàn thời gian,Đen,Kem,5 cửa,7 chỗ
Xe Toyota Vios E CVT	2025,428 Triệu,"220 Bis Điện Biên Phủ, Phường 22, Q. Bình Thạnh TP HCM",Xe mới,2025,Trong nước,Xăng 1.5 L,Sedan,Số tự động,-,FWD - Dẫn động cầu trước,Bạc,Đen,4 cửa,5 chỗ
Xe Kia Sorento Premium 2.2 AT AWD	2021,825 Triệu,Văn Giang Hưng Yên,Xe đã dùng,2021,Trong nước,Dầu 2.2 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Đen,Ghi,5 cửa,7 chỗ
Xe Kia Sonet Luxury 1.5 AT	2025,579 Triệu,"Số 09 Đường Lê Thái Tổ, P. Võ Cường , T. Bắc Ninh Bắc Ninh",Xe mới,2025,Trong nước,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Honda CRV 2.4 AT	2014,469 Triệu,"132 Nguyễn Văn Cừ, Long Biên Hà Nội",Xe đã dùng,2014,Trong nước,Xăng 2.4 L,SUV,Số tự động,"80,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,5 chỗ
Xe Mazda 3 1.5L Premium	2024,679 Triệu,"Xuân Ổ, phường Võ Cường, TP Bắc Ninh Bắc Ninh",Xe đã dùng,2024,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"10,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe Toyota Fortuner 2.5G	2014,465 Triệu,"81 Trường Chinh, TP Pleiku Gia Lai",Xe đã dùng,2014,Trong nước,Dầu 2.5 L,SUV,Số tay,-,RFD - Dẫn động cầu sau,Đen,Xám,5 cửa,7 chỗ
Xe BMW 3 Series 320i	2016,590 Triệu,"136 Nguyễn Văn Cừ , Bồ đề , Long Biên Hà Nội",Xe đã dùng,2016,Nhập khẩu,Xăng 2.0 L,Sedan,Số tự động,"100,000 Km",RFD - Dẫn động cầu sau,Xanh,Kem,4 cửa,5 chỗ
Xe Nissan Teana 2.0 AT	2010,195 Triệu,204 Bà Triệu Phường Hoàng Văn Thụ Tp Lạng Sơn Lạng Sơn,Xe đã dùng,2010,Nhập khẩu,Xăng 2.0 L,Sedan,Số tự động,"120,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,4 cửa,5 chỗ
Xe Lexus GX 470	2007,539 Triệu,"Số 95 Lê Duẩn, Kiến An Hải Phòng",Xe đã dùng,2007,Nhập khẩu,Xăng 4.7 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Nâu,Kem,5 cửa,7 chỗ
Xe Honda Civic RS 1.5 AT	2019,568 Triệu,"70 đường 15, KĐT Vạn Phúc, Hiệp Bình TP HCM",Xe đã dùng,2019,Nhập khẩu,Xăng 1.5 L,Sedan,Số tự động,"50,100 Km",FWD - Dẫn động cầu trước,Đen,Đen,4 cửa,5 chỗ
Xe Toyota Veloz Cross Top 1.5 CVT	2022,535 Triệu,"Số 1 Đường Lý Thánh Tông, Phường Tân Hồng, Thành Phố Từ Sơn Bắc Ninh",Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,"48,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,7 chỗ
Xe Kia Seltos Premium 1.4 AT	2022,599 Triệu,"Đường mới thị trấn Quỳnh Côi ( 396b), Quỳnh Phụ Thái Bình",Xe đã dùng,2022,Trong nước,Xăng 1.4 L,Crossover,Số tự động,"35,000 Km",FWD - Dẫn động cầu trước,Đỏ,Xám,5 cửa,5 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2022,1 Tỷ 145 Triệu,"39 Chế Lan Viên, P. Tây Thạnh, TP HCM",Xe đã dùng,2022,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"28,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,7 chỗ
Xe Hyundai Accent Cao cấp 1.5 AT	2025,538 Triệu,"Do Lộ, Phường Yên Nghĩa, Quận Hà Đông Hà Nội",Xe mới,2025,Trong nước,Xăng 1.5 L,Sedan,Số tự động,-,FWD - Dẫn động cầu trước,Đen,Đen,4 cửa,5 chỗ
Xe Toyota Land Cruiser 3.5 V6	2025,4 Tỷ 580 Triệu,Hà Đông Hà Nội,Xe mới,2025,Nhập khẩu,Xăng 3.4 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,7 chỗ
Xe Skoda Kodiaq Style 2.0 AT 4WD	2024,1 Tỷ 389 Triệu,"255 Nguyễn Văn Lượng, Phường 10, Gò Vấp TP HCM",Xe mới,2024,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,-,4WD - Dẫn động 4 bánh,Đỏ,Đen,5 cửa,7 chỗ
Xe Hyundai Tucson 1.6 AT Turbo HTRAC Đặc biệt	2025,932 Triệu,"166 - 168 Phạm Văn Đồng, P. Hạnh Thông TP HCM",Xe mới,2025,Trong nước,Xăng 1.6 L,Crossover,Số tự động,-,AWD - 4 bánh toàn thời gian,Đen,Đen,5 cửa,5 chỗ
Xe LandRover Range Rover HSE 3.0	2015,2 Tỷ 550 Triệu,"388 Nguyễn Văn Cừ, Long Biên Hà Nội",Xe đã dùng,2015,Nhập khẩu,Xăng 3.0 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Trắng,Kem,5 cửa,5 chỗ
Xe Volvo XC60 T6 AWD Inscription	2019,1 Tỷ 180 Triệu,321 Phạm Văn Đồng - Bắc Từ Liêm Hà Nội,Xe đã dùng,2019,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Trắng,Đen,5 cửa,5 chỗ
Xe Mitsubishi Triton Athlete 4x2 AT	2022,615 Triệu,"Số 79 Nguyễn Chánh, Trung Hoà, Cầu Giấy Hà Nội",Xe đã dùng,2022,Nhập khẩu,Dầu 2.4 L,Bán tải / Pickup,Số tự động,"65,000 Km",RFD - Dẫn động cầu sau,Trắng,Nâu,4 cửa,5 chỗ
Xe Toyota Innova Cross 2.0 CVT	2024,845 Triệu,"QL1A, Xã Dĩnh Trì, Thành phố Bắc Giang Bắc Giang",Xe đã dùng,2024,Nhập khẩu,Xăng 2.0 L,Crossover,Số tự động,"9,390 Km",FWD - Dẫn động cầu trước,Trắng,Nâu,5 cửa,8 chỗ
Xe Ford Ranger Wildtrak 2.0L 4x4 AT	2024,855 Triệu,Hạ Yên Quyết - Yên Hoà - Cầu Giấy Hà Nội,Xe đã dùng,2024,Trong nước,Dầu 2.0 L,Bán tải / Pickup,Số tự động,-,4WD - Dẫn động 4 bánh,Xám,Đen,4 cửa,5 chỗ
Xe Mitsubishi Xpander Premium 1.5 AT	2022,495 Triệu,"75 Trần Văn Mười, Xuân Thới Thượng, H. Hóc môn TP HCM",Xe đã dùng,2022,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,"85,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Hyundai Custin Cao Cấp 2.0T	2024,875 Triệu,"C1/12e Phạm Hùng, Bình Hưng, Q.8 TP HCM",Xe đã dùng,2024,Trong nước,Xăng 2.0 L,Van/Minivan,Số tự động,"61,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Mazda 3 1.5L Sport Premium	2022,565 Triệu,"616/15-17Lê Trọng Tấn, P.Bình Hưng Hòa, Q.Bình Tân TP HCM",Xe đã dùng,2022,Trong nước,Xăng 1.5 L,Hatchback,Số tự động,"28,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Honda HRV L	2025,721 Triệu,"197A Nghi Tàm, Phường Yên Phụ, Quận Tây Hồ Hà Nội",Xe mới,2025,Nhập khẩu,Xăng 1.5 L,Crossover,Số tự động,-,FWD - Dẫn động cầu trước,Trắng,-,5 cửa,5 chỗ
Xe BMW 5 Series 530i Luxury Line	2019,1 Tỷ 390 Triệu,"Số 06 KĐT Lão Thành Cách Mạng P.Yên Hoà, Quận Cầu Giấy Hà Nội",Xe đã dùng,2019,Nhập khẩu,Xăng 2.0 L,Sedan,Số tự động,"50,000 Km",RFD - Dẫn động cầu sau,Xanh,Nâu,4 cửa,5 chỗ
Xe Mitsubishi Outlander 2.0 CVT	2019,545 Triệu,"29 Tố Hữu, Trung Văn, Nam Từ Liêm Hà Nội",Xe đã dùng,2019,Trong nước,Xăng 2.0 L,SUV,Số tự động,"80,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,7 chỗ
Xe Lexus RX 350	2022,3 Tỷ 690 Triệu,"VILLA 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy Hà Nội",Xe đã dùng,2022,Nhập khẩu,Xăng 3.5 L,SUV,Số tự động,"30,000 Km",AWD - 4 bánh toàn thời gian,Đen,Nâu,5 cửa,5 chỗ
Xe Ford Ranger Wildtrak 2.0L 4x4 AT	2021,685 Triệu,Hạ Yên Quyết - Yên Hoà - Cầu Giấy Hà Nội,Xe đã dùng,2021,Nhập khẩu,Dầu 2.0 L,Bán tải / Pickup,Số tự động,"50,000 Km",4WD - Dẫn động 4 bánh,Đen,Đen,4 cửa,5 chỗ
Xe Toyota Vios 1.5G	2012,250 Triệu,"Số 89 Cầu Đạm Thủy, Việt Dân, Đông Triều Quảng Ninh",Xe đã dùng,2012,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"15,000 Km",FWD - Dẫn động cầu trước,Đen,Kem,4 cửa,5 chỗ
Xe Hyundai SantaFe SLX	2009,345 Triệu,"188 đường Thống Nhất, TP.Thái Nguyên Thái Nguyên",Xe đã dùng,2009,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"14,990 Km",FWD - Dẫn động cầu trước,Bạc,Ghi,5 cửa,7 chỗ
Xe Lexus RX 350 Premium	2023,3 Tỷ 250 Triệu,"463A Trần Hưng Đạo, Quận 1 TP HCM",Xe đã dùng,2023,Nhập khẩu,Xăng 2.4 L,SUV,Số tự động,-,AWD - 4 bánh toàn thời gian,Trắng,Nâu,5 cửa,5 chỗ
Xe VinFast Lux SA 2.0 Base 2.0 AT	2021,755 Triệu,"Số 12 ngõ 18 Nguyễn Văn Cừ, Hồng Hải Quảng Ninh",Xe đã dùng,2021,Trong nước,Xăng 2.0 L,SUV,Số tự động,-,RFD - Dẫn động cầu sau,Xanh,Nâu,5 cửa,7 chỗ
Xe BMW 7 Series 740Li	2018,1 Tỷ 989 Triệu,Long Biên Hà Nội,Xe đã dùng,2018,Nhập khẩu,Xăng 3.0 L,Sedan,Số tự động,"60,000 Km",RFD - Dẫn động cầu sau,Đen,Kem,4 cửa,5 chỗ
Xe Mercedes Benz GLC 200	2022,1 Tỷ 180 Triệu,"812A Quang Trung, P.8, Q.Gò Vấp TP HCM",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,SUV,Số tự động,"59,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,5 chỗ
Xe Hyundai Kona Tiêu Chuẩn 2.0 AT	2021,499 Triệu,Số 02 Nghĩa Tân Kéo Dài - Cầu Giấy - Hà Nội Hà Nội,Xe đã dùng,2021,Trong nước,Xăng 2.0 L,SUV,Số tự động,"30,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Audi Q5 2.0 AT	2011,370 Triệu,"363 Nguyễn Xiển, Phường Đại Kim, Quận Thanh Xuân Hà Nội",Xe đã dùng,2011,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,"110,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Kem,5 cửa,5 chỗ
Xe Honda City 1.5TOP	2019,380 Triệu,Ngã tư ô tô 1-5 thị trấn Đông Anh Hà Nội,Xe đã dùng,2019,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"91,000 Km",FWD - Dẫn động cầu trước,Xanh,Đen,4 cửa,5 chỗ
Xe Mercedes Benz C class C200	2015,569 Triệu,"Nguyễn Văn Cừ , Long Biên Hà Nội",Xe đã dùng,2015,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"98,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,4 cửa,5 chỗ
Xe Kia K3 Premium 2.0 AT	2022,565 Triệu,"88 Dịch Vọng Hậu, Cầu Giấy Hà Nội",Xe đã dùng,2022,Trong nước,Xăng 2.0 L,Sedan,Số tự động,"40,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,4 cửa,5 chỗ
Xe Peugeot 3008 1.6 AT	2018,540 Triệu,"139 Nguyễn Văn Cừ, Long Biên Hà Nội",Xe đã dùng,2018,Trong nước,Xăng 1.6 L,Crossover,Số tự động,"6,800 Km",FWD - Dẫn động cầu trước,Nâu,Đen,5 cửa,5 chỗ
Xe Ford Everest Titanium 2.0L 4x4 AT	2020,840 Triệu,"Số 16 Lê Đức Thọ , Mỹ Đình 2 , Nam Từ Liêm , Hà Nội Hà Nội",Xe đã dùng,2020,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"85,000 Km",4WD - Dẫn động 4 bánh,Đỏ,Đen,5 cửa,7 chỗ
Xe Skoda Kodiaq Style 2.0 AT 4WD	2024,1 Tỷ 389 Triệu,52 - Nguyễn Trãi - Tp Vinh - Nghệ An Nghệ An,Xe mới,2024,Nhập khẩu,Xăng 2.0 L,SUV,Số tự động,-,4WD - Dẫn động 4 bánh,Trắng,Đen,5 cửa,7 chỗ
Xe Toyota Veloz Cross Top 1.5 CVT	2024,575 Triệu,"Lô A, Đ. Lê Thái Tổ, P. Võ Cường, Tp Bắc Ninh Bắc Ninh",Xe đã dùng,2024,Trong nước,Xăng 1.5 L,SUV,Số tự động,-,FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,7 chỗ
Xe Hyundai Elantra 1.6 AT Đặc biệt	2022,535 Triệu,38 - 40 Nguyễn Phước Lan - Cẩm Lệ Đà Nẵng,Xe đã dùng,2022,Trong nước,Xăng 1.6 L,Sedan,Số tự động,"20,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,4 cửa,5 chỗ
Xe Kia Rondo GMT	2017,335 Triệu,"159 Lê Duẩn, Buôn Ma Thuột Đăk Lăk",Xe đã dùng,2017,Trong nước,Xăng 2.0 L,SUV,Số tay,"41,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,5 cửa,7 chỗ
Xe Ford Transit Premium	2024,805 Triệu,"Số 1A Nguyễn Văn Huyên, Cầu Giấy Hà Nội",Xe đã dùng,2024,Trong nước,Dầu 2.3 L,Van/Minivan,Số tay,"35,000 Km",RFD - Dẫn động cầu sau,Đen,Ghi,4 cửa,16 chỗ
Xe Ford EcoSport Titanium 1.0 EcoBoost	2019,415 Triệu,"Khu đô thị Cổ Dương, Tiên Dương, Đông Anh Hà Nội",Xe đã dùng,2019,Trong nước,Xăng 1.0 L,SUV,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Honda CRV L	2018,700 Triệu,"Ngã ba Hang Non, Kham Lạng, Lục Nam Bắc Giang",Xe đã dùng,2018,Nhập khẩu,Xăng 1.5 L,SUV,Số tự động,"110,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,7 chỗ
Xe Kia Sonet Luxury 1.5 AT	2023,529 Triệu,"2 Trần Hữu Dực, Mỹ Đình Hà Nội",Xe đã dùng,2023,Trong nước,Xăng 1.5 L,Crossover,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Đen,Đen,5 cửa,5 chỗ
Xe Peugeot 3008 Allure 1.6 AT	2020,595 Triệu,"385 Hữu Hưng, Hà Đông Hà Nội",Xe đã dùng,2020,Trong nước,Xăng 1.6 L,Crossover,Số tự động,"80,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Honda CRV L	2023,1 Tỷ 29 Triệu,"2 Trần Hữu Dực, Mỹ Đình Hà Nội",Xe đã dùng,2023,Trong nước,Xăng 1.5 L,SUV,Số tự động,"14,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Honda Civic G 1.8 AT	2021,579 Triệu,"119 Lê Hồng Phong, Dĩ An Bình Dương",Xe đã dùng,2021,Nhập khẩu,Xăng 1.8 L,Sedan,Số tự động,"70,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,4 cửa,5 chỗ
Xe Honda CRV 2.0 AT	2015,475 Triệu,"2 Trần Hữu Dực, Mỹ Đình Hà Nội",Xe đã dùng,2015,Trong nước,Xăng 2.0 L,SUV,Số tự động,"120,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,5 cửa,5 chỗ
Xe Toyota Camry 2.5Q	2019,805 Triệu,"Số 68 Hạ Yên Quyết, Yên Hoà, Cầu Giấy Hà Nội",Xe đã dùng,2019,Nhập khẩu,Xăng 2.5 L,Sedan,Số tự động,"80,000 Km",FWD - Dẫn động cầu trước,Đen,Kem,4 cửa,5 chỗ
Xe Kia Seltos Luxury 1.5 AT	2024,660 Triệu,243 Lê Hồng Phong - Tp Vũng Tàu Bà Rịa Vũng Tàu,Xe đã dùng,2024,Trong nước,Xăng 1.5 L,Crossover,Số tự động,"2,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Bestune Xiaoma	2025,199 Triệu,"Tòa N02-T1, Khu Ngoại Giao Đoàn, Xuân Tảo, Phường Xuân Đỉnh Hà Nội",Xe mới,2025,Nhập khẩu,Điện,Hatchback,Số tự động,-,FWD - Dẫn động cầu trước,Xanh,-,2 cửa,4 chỗ
Xe Mazda 3 1.5L Luxury	2019,445 Triệu,"2 Trần Hữu Dực, Mỹ Đình Hà Nội",Xe đã dùng,2019,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"82,000 Km",FWD - Dẫn động cầu trước,Xanh,Đen,4 cửa,5 chỗ
Xe Kia Carnival Signature 2.2D	2022,1 Tỷ 189 Triệu,68 Lê Văn Lương Hà Nội,Xe đã dùng,2022,Trong nước,Dầu 2.2 L,Van/Minivan,Số tự động,"57,000 Km",FWD - Dẫn động cầu trước,Trắng,Nâu,5 cửa,7 chỗ
