title,price,location,Tình trạng,Năm sản xuất,Xuất xứ,Động cơ,Kiểu dáng,Hộp số,Số Km đã đi,Dẫn động,Màu ngoại thất,Màu nội thất,Số cửa,Số chỗ ngồi
Xe Mercedes Benz G class G63 AMG	2016,5 Tỷ 450 Triệu,Hạ Yên Quyết - Yên Hoà - Cầu Giấy Hà Nội,Xe đã dùng,2016,Nhập khẩu,Xăng 5.5 L,SUV,Số tự động,"50,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Đỏ,5 cửa,5 chỗ
Xe Toyota Vios G 1.5 CVT	2022,435 Triệu,"Đường Lê Thái Tổ, Phường Võ Cường Bắc Ninh",Xe đã dùng,2022,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"51,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,4 cửa,5 chỗ
Xe VinFast Fadil Tiêu chuẩn 1.4 AT	2022,325 Triệu,"Khu Nam Ga, P Giếng Đáy, Tp Hạ Long Quảng Ninh",Xe đã dùng,2022,Trong nước,Xăng 1.4 L,Hatchback,Số tự động,"40,000 Km",FWD - Dẫn động cầu trước,Đỏ,Đen,5 cửa,5 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2023,1 Tỷ 169 Triệu,"Lô 4/3, Đường số 4, Kcn Phan Thiết 1, Phong Nẫm, Phan Thiết Bình Thuận",Xe đã dùng,2023,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"45,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,7 chỗ
Xe Toyota Vios 1.5G	2020,419 Triệu,Số 26 Cầu Diễn (Trụ cầu 146 - 147) Hà Nội,Xe đã dùng,2020,Trong nước,Xăng 1.5 L,Sedan,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,4 cửa,5 chỗ
Xe LandRover Range Rover Autobiography LWB 5.0	2015,3 Tỷ 550 Triệu,"388 Nguyễn Văn Cừ, Long Biên Hà Nội",Xe đã dùng,2015,Nhập khẩu,Xăng 5.0 L,SUV,Số tự động,"66,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Nâu,5 cửa,4 chỗ
Xe Hyundai Universe Xpress Luxury 47c	2015,935 Triệu,"135 Tích Lộc, Phúc Thọ Hà Nội",Xe đã dùng,2015,Trong nước,Dầu,Van/Minivan,Số tay,"260,000 Km",RFD - Dẫn động cầu sau,Xanh,Nhiều màu,1 cửa,47 chỗ
Xe Kia Seltos Premium 1.4 AT	2022,615 Triệu,"KĐT RoseTown 79 Ngọc Hồi, Hoàng Mai (gần Bx Nước Ngầm) Hà Nội",Xe đã dùng,2022,Trong nước,Xăng 1.4 L,Crossover,Số tự động,"60,000 Km",FWD - Dẫn động cầu trước,Trắng,Kem,5 cửa,5 chỗ
Xe Ford Ranger XLS 2.2L 4x2 AT	2021,540 Triệu,"570 Nguyễn Văn Cừ, TP Buôn Ma Thuột Đăk Lăk",Xe đã dùng,2021,Nhập khẩu,Dầu 2.2 L,Bán tải / Pickup,Số tự động,"71,440 Km",RFD - Dẫn động cầu sau,Xanh,Đen,4 cửa,5 chỗ
Xe Mazda CX5 Premium Sport 2.0 AT	2024,815 Triệu,52 Lương Định Của P.An Khánh Quan 2 TP Thủ Đức TP HCM,Xe đã dùng,2024,Trong nước,Xăng 2.0 L,SUV,Số tự động,"16,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Kia Sedona 2.2L DATH	2017,665 Triệu,"Khu Hà Liễu, phường Gia Cẩm, Tp Việt Trì Phú Thọ",Xe đã dùng,2017,Trong nước,Dầu 2.2 L,Van/Minivan,Số tự động,"159,000 Km",FWD - Dẫn động cầu trước,Xanh,Nâu,5 cửa,7 chỗ
Xe Mercedes Benz GLC 300 4Matic	2018,979 Triệu,"3 Căn VILLA 05 - 06 - 07 Lô C1 Khu đô thị Yên Hòa, Phường Yên Hòa, Quận Cầu Giấy ( Cạnh Công Viên Yên Hoà ) Hà Nội",Xe đã dùng,2018,Trong nước,Xăng 2.0 L,SUV,Số tự động,"50,000 Km",AWD - 4 bánh toàn thời gian,Trắng,Nâu,5 cửa,5 chỗ
Xe Mazda CX5 2.5 AT 2WD	2017,480 Triệu,"Đường số 23 KĐT TP Giao Lưu, P. Cổ Nhuế , Bắc Từ Liêm Hà Nội",Xe đã dùng,2017,Trong nước,Xăng 2.5 L,SUV,Số tự động,"83,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,5 chỗ
Xe Ford Everest Titanium Plus 2.0L 4x4 AT	2022,1 Tỷ 259 Triệu,"26 Việt Hưng, Long Biên Hà Nội",Xe đã dùng,2022,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"50,000 Km",4WD - Dẫn động 4 bánh,Trắng,Đen,5 cửa,7 chỗ
Xe Ford Everest Wildtrak 2.0L 4x4 AT	2023,1 Tỷ 369 Triệu,"Đường số 23 KĐT TP Giao Lưu, P. Cổ Nhuế , Bắc Từ Liêm Hà Nội",Xe đã dùng,2023,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"50,000 Km",4WD - Dẫn động 4 bánh,Trắng,Đen,5 cửa,7 chỗ
Xe Kia Carens 1.5G Luxury	2024,630 Triệu,"Đường số 23 KĐT TP Giao Lưu, P. Cổ Nhuế , Bắc Từ Liêm Hà Nội",Xe đã dùng,2024,Trong nước,Xăng 1.5 L,SUV,Số tự động,"26,000 Km",FWD - Dẫn động cầu trước,Trắng,Đen,5 cửa,7 chỗ
Xe Kia Carnival Premium 2.2D 7S	2024,1 Tỷ 460 Triệu,"Đường số 23 KĐT TP Giao Lưu, P. Cổ Nhuế , Bắc Từ Liêm Hà Nội",Xe đã dùng,2024,Trong nước,Dầu 2.2 L,Van/Minivan,Số tự động,"12,000 Km",FWD - Dẫn động cầu trước,Xanh,Nâu,5 cửa,7 chỗ
Xe Ford Everest Titanium 2.0L 4x2 AT	2024,1 Tỷ 255 Triệu,"Đường số 23 KĐT TP Giao Lưu, P. Cổ Nhuế , Bắc Từ Liêm Hà Nội",Xe đã dùng,2024,Nhập khẩu,Dầu 2.0 L,SUV,Số tự động,"20,000 Km",RFD - Dẫn động cầu sau,Đen,Đen,5 cửa,7 chỗ
