price_million,km,year,brand,model,transmission,fuel_type,body_type,origin,condition,seats,city,engine,engine_missing,source,age,km_per_year,is_luxury,transmission_encoded,fuel_type_encoded,origin_encoded,condition_encoded,source_encoded,brand_freq,model_freq,city_freq,body_type_freq
200.0,12000.0,2016.0,Toyota,Vios,MT,Xăng,Sedan,Nhập khẩu,Cũ,4.0,Hà Nội,0.0,1,chotot,9.0,1333.3333333333333,0,1,2,0,0,1,0.1615358244772026,0.01076448405896469,0.4966746657524854,0.2631470689064107
340.0,25000.0,2021.0,Toyota,Wigo,AT,Xăng,Sedan,Nhập khẩu,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,4.0,6250.0,0,0,2,0,0,1,0.1615358244772026,0.0013712718546451835,0.2584161810078848,0.2631470689064107
65.0,172000.0,2008.0,Daewoo,Lacetti,MT,Xăng,Sedan,Trong nước,Cũ,5.0,Cần Thơ,0.0,1,chotot,17.0,10117.64705882353,0,1,2,1,0,1,0.0061707233459033254,0.00246828933836133,0.009667466575248543,0.2631470689064107
800.0,100000.0,2016.0,Honda,Odyssey,AT,Xăng,Minivan (MPV),Nhập khẩu,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,9.0,11111.111111111111,0,0,2,0,0,1,0.03770997600274254,0.00041138155639355503,0.2584161810078848,0.03489886870071992
935.0,3007.0,2025.0,Toyota,Corolla Cross,AT,Hybrid,SUV / Cross over,Nhập khẩu,Cũ,5.0,Hà Nội,0.0,1,chotot,0.0,0.0,0,0,1,0,0,1,0.1615358244772026,0.0017826534110387383,0.4966746657524854,0.10010284538909839
115.0,200000.0,2005.0,Ford,Mondeo,AT,Xăng,Sedan,Trong nước,Cũ,5.0,Hồ Chí Minh,0.0,1,chotot,20.0,10000.0,0,0,2,1,0,1,0.11155296537538567,0.0010284538909838875,0.2584161810078848,0.2631470689064107
135.0,153000.0,2008.0,Chevrolet,Vivant,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hà Nội,0.0,1,chotot,17.0,9000.0,0,0,2,1,0,1,0.020157696263284196,0.0006856359273225917,0.4966746657524854,0.10010284538909839
650.0,100000.0,2019.0,Hyundai,Tucson,AT,Xăng,SUV / Cross over,Trong nước,Cũ,5.0,Thanh Hóa,0.0,1,chotot,6.0,16666.666666666668,0,0,2,1,0,1,0.08947548851559822,0.004525197120329105,0.005142269454919438,0.10010284538909839
500.0,35000.0,2021.0,Mazda,CX 3,AT,Xăng,SUV / Cross over,Trong nước,Cũ,7.0,Hồ Chí Minh,0.0,1,chotot,4.0,8750.0,0,0,2,1,0,1,0.049022968803565305,0.0005485087418580734,0.2584161810078848,0.10010284538909839
695.0,10.0,2018.0,Hyundai,Santa Fe,AT,Dầu,SUV / Cross over,Trong nước,Cũ,7.0,Hà Nội,0.0,1,chotot,7.0,1.4285714285714286,0,0,0,1,0,1,0.08947548851559822,0.005073705862187179,0.4966746657524854,0.10010284538909839
